record,title,url,doi,summary,authors,abstract,type
1,What are the effects of flow-regime changes on fish productivity in temperate regions? A systematic map,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-020-00190-z,10.1186/s13750-020-00190-z,"There is growing evidence of the potential negative consequences of altered flow regimes, in terms of magnitude, frequency, timing, duration or season pattern, on fluvial ecosystems and the fisheries they supp...","Trina Rytwinski, Meagan Harper, Jessica J. Taylor, Joseph R. Bennett, Lisa A. Donaldson, Karen E. Smokorowski, Keith Clarke, Michael J. Bradford, Haitham Ghamry, Julian D. Olden, Daniel Boisclair and Steven J. Cooke","Background There is growing evidence of the potential negative consequences of altered flow regimes, in terms of magnitude, frequency, timing, duration or season pattern, on fluvial ecosystems and the fisheries they support. The scientific and policy communities have acknowledged the need for a better understanding of the effects of flow alteration on fish productivity. We conducted a systematic map to provide an overview of the existing literature base on the effects of flow-regime changes on direct outcomes of freshwater or estuarine fish productivity in temperate regions to inform stakeholders and policy makers. Methods To identify relevant articles for inclusion in this systematic map, we searched six bibliographic databases, 29 organizational websites, one search engine, and 297 reviews, and solicited grey literature through relevant sources. We screened articles at title and abstract, then by full-text using predefined inclusion criteria. Included studies were coded for key variables of interest, along with a very basic critical appraisal for internal validity (i.e., susceptibility to bias). The quantity and characteristics of the available evidence, knowledge gaps and subtopics with sufficient coverage for full systematic reviewing are reported in a narrative synthesis. The distribution and frequency of examined effects of flow-regime changes on fish productivity outcomes are presented in visual heatmaps. Review findings A total of 1368 studies from 1199 articles were included in the systematic map database and used to identify a number of interesting themes in the evidence base: (1) large evidence bases were found in temperate regions of United States of America (USA), Canada, and Australia; (2) most studies either used a temporal or spatial trend design i.e., lacking a ‘true’ before intervention time period, or no intervention control sites; (3) the most studied causes of altered flow regime were natural (e.g., floods, droughts, climate change), hydroelectric facilities (hydro), and dams with no hydro; and (4) there were clear clusters of studies evaluating effects of changes in magnitude and surrogate measures (e.g., velocity, water depth) on fish productivity outcomes, in particular abundance and diversity metrics. A number of potential knowledge gaps were identified: including geographic (Northern Africa, and possibly parts of Asia), causes of altered flow regime (restoration, land-use change, and water abstraction/extraction/diversion), interventions (flow duration, frequency, rate of change, or timing), outcomes (population viability) and specific intervention/cause/outcome groups (e.g., changes in flow magnitude due to hydro or natural causes and fish survival, performance, and reproduction). A few aspects in methodology were also identified across studies, primarily a lack of true comparators (e.g., temporal or spatial trend designs). Conclusions This map suggests subtopics warranting future evidence synthesis include, examinations into how changes in flow magnitude affects: (1) fish abundance for dams with no hydro causes; (2) fish abundance, diversity/richness, migration, and growth for hydro causes; and (3) fish abundance, diversity/richness, growth, community structure, recruitment, and migrating fish abundance for natural causes. More comprehensive evidence is needed to understand how: (1) fish productivity metrics are affected by changes in flow regime due to restoration, land-use change, and water withdrawal/diversion activities; (2) how fish productivity is affected by changes to components of flow regime other than magnitude (e.g., flow duration, frequency); and (3) changes in flow magnitude due to hydro or natural causes affect fish survival, performance, and reproduction; and (4) changes in flow regime (all causes, all interventions) affect population viability.",SM
2,What do we know about the impacts of the Marine Stewardship Council seafood ecolabelling program? A systematic map,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-020-0188-9,10.1186/s13750-020-0188-9,Voluntary Sustainability Standards and ecolabels are market-based mechanisms used to encourage producers and consumers toward environmental sustainability. The Marine Stewardship Council (MSC) aims to improve ...,"Ashleigh Arton, Anthony Leiman, Gillian Petrokofsky, Hilde Toonen and Catherine S. Longo","Background Voluntary Sustainability Standards and ecolabels are market-based mechanisms used to encourage producers and consumers toward environmental sustainability. The Marine Stewardship Council (MSC) aims to improve ocean health and promote a sustainable seafood market. There is growing interest in the program’s impacts (direct and indirect) from changes to fisheries management and consumer awareness to market access and the reputation of fisheries. To better understand what is known about the program’s impacts and the quality of evidence available, this map collates and describes articles on the environmental, social, institutional and economic effects of the MSC, identifying the methods used to determine impacts, and highlighting knowledge gaps and clusters. Methods Following an a priori protocol, systematic searches of peer-reviewed literature were conducted in Web of Science, SCOPUS and AGRIS. Grey literature was gathered from Google Scholar, Microsoft Academic, and three subject-specific websites. A total of 771 articles were retrieved, 271 of which were screened at full-text. 28 articles met all inclusion criteria and a further 37 met all the criteria but did not have a comparator. Additionally, 108 articles that describe the MSC but do not investigate its impacts (thus failing on ‘comparator’ and ‘outcome’ inclusion criteria) were included in the narrative report. This provides an overview of MSC topics that are of general interest to researchers in comparison to articles that investigate MSC’s impact. Results Evidence of the impact of MSC certification fall in the following topic categories: economic (38%), environmental (25%), governance (29%) and social (8%). These articles documented diverse outcomes related to MSC certification. The most common are price premiums, market access, changes in stock health, ecosystem impacts and fisheries management changes. A key knowledge gap are articles on the effects of the MSC’s Chain of Custody Standard and its effects on the supply chain. Generally, literature focused on European and North American fisheries with little focus on fisheries situated in lower-income countries. Conclusions Research interest in the MSC has grown over the last two decades, however, little research uses study designs and evidence that can robustly detect or attribute change to the MSC. Greater focus on conducting robust quasi-experimental designs would help to better understand the program effects. Comparing areas of interest in the general literature (which, for example, shows greater focus on the governance aspects of the programme than found in literature using comparators) suggests that this is partly due to lack of resources, data access and the challenge of obtaining counterfactuals. Nevertheless, some topics were absent in all areas, such as the social and economic dynamics that link harvesters and supply chain actors. It is important to fill the identified knowledge gaps as the behaviours of certified harvesters, supply chain actors and other stakeholders are the key through which the public influence sustainability, market inclusion/exclusion operates, and inequality is generated. Understanding these processes can have wider relevance in the field, informing the design of other sustainability interventions.",SM
3,What evidence exists for the impact of Baltic Sea ecosystems on human health and well-being? A systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-020-00189-6,10.1186/s13750-020-00189-6,"The Baltic Sea ecosystems supply many benefits to society, termed ecosystem services. These depend upon a healthy marine environment requiring marine and relevant land-based policies integrated with public hea...","Joanna Storie, Monika Suškevičs, Mart Külvik, Virpi Lehtoranta, Suvi Vikström, Simo Riikonen, Harri Kuosa, Kristin Kuhn and Soile Oinonen","Background The Baltic Sea ecosystems supply many benefits to society, termed ecosystem services. These depend upon a healthy marine environment requiring marine and relevant land-based policies integrated with public health policies. Until recently marine environment protection policies have largely focussed on human impacts on the environment and have not taken into account impacts of ecosystems on human health beyond the direct impacts of hazardous substances, such as those present in seafood. Whilst endeavours have been made to integrate human health and well-being into marine policies, interviews with key stakeholders through a participatory process revealed that the linkages were not sufficiently strong to inform policymaking. The existing evidence base urgently needs to be identified and synthesised to support relevant policy updates of the Marine Strategy Framework Directive (MSFD) 2008/56/EC and the Baltic Sea Action Plan (BSAP) (2007) as well as to help direct future research priorities. Method The protocol is based on the primary question, “What linkages have been researched between Baltic Sea ecosystems and the positive and negative impacts to human health and well-being?” Using systematic mapping, this study will identify and map the state and the geographical distribution of the existing research evidence linking human health and well-being with the Baltic Sea ecosystems. The types of ecosystem services supplied by the Baltic Sea and the associated health and well-being impacts will be categorised and presented in a graphical matrix, illustrating ecosystem service type and the types of health and well-being outcomes. The systematic mapping procedure will result in a narrative report published with a searchable database, which will contain a descriptive summary of the information from all of the eligible studies. The systematic map and database will be displayed on the website of the Finnish Environment Institute (SYKE).",SMP
4,How effective are strategies to control the dissemination of antibiotic resistance in the environment? A systematic review,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-020-0187-x,10.1186/s13750-020-0187-x,"Antibiotic resistance is a major concern for public and environmental health. The role played by the environment in disseminating resistance is increasingly considered, as well as its capacity for mitigation. ...","Anaïs Goulas, Drifa Belhadi, Alexandre Descamps, Antoine Andremont, Pierre Benoit, Sophie Courtois, Christophe Dagot, Nathalie Grall, David Makowski, Sylvie Nazaret, Sylvie Nélieu, Dominique Patureau, Fabienne Petit, Céline Roose-Amsaleg, Marion Vittecoq, Barbara Livoreil…","Background Antibiotic resistance is a major concern for public and environmental health. The role played by the environment in disseminating resistance is increasingly considered, as well as its capacity for mitigation. We reviewed the literature on strategies to control dissemination of antibiotic-resistant bacteria (ARB), antibiotic resistance genes (ARG) and mobile genetic elements (MGE) in the environment. Methods This systematic review focused on three main strategies: (i) restriction of antibiotic use (S1), (ii) treatments of liquid/solid matrices (S2) and (iii) management of natural environment (S3). Articles were collected from seven scientific databases until July 2017 and from Web of Science until June 2018. Only studies reporting measurements of ARB, ARG or MGE in environmental samples were included. An evidence map was drawn from metadata extracted from all studies eligible for S1, S2 and S3. Subsets of studies were assessed for internal and external validity to perform narrative and quantitative syntheses. A meta-analysis was carried out to assess the effects of organic waste treatments (random-effect models). Review findings Nine hundred and thirty-one articles representing 1316 individual studies (n) were eligible for S1 (n = 59), S2 (n = 781) and S3 (n = 476) strategies, respectively. Effects of interventions to control the dissemination of antibiotic resistance in the environment were primarily studied in strategy S2. A partial efficiency of wastewater treatment plants (WWTPs) to reduce antibiotic resistance in treated effluent was reported in 118 high validity studies. In spite of the heterogeneity in published results, the meta-analysis showed that composting and drying were efficient treatments to reduce the relative abundance of ARG and MGE in organic waste, by 84% [65%; 93%] and 98% [80%; 100%], respectively. The effect of anaerobic digestion was not statistically significant (51% reduction [− 2%; 77%]) when organic waste treatments were compared together in the same model. Studies in strategies S1 and S3 mainly assessed the effects of exposure to sources of contamination. For instance, 28 medium/high validity studies showed an increase of antibiotic resistance in aquatic environments at the WWTP discharge point. Some of these studies also showed a decrease of resistance as the distance from the WWTP increases, related to a natural resilience capacity of aquatic environments. Concerning wildlife, nine medium/high validity studies showed that animals exposed to anthropogenic activities carried more ARB. Conclusions and implications Knowledge gaps were identified for the relationship between restriction of antibiotic use and variation of antibiotic resistance in the environment, as well as on possible interventions in situ in natural environment. Organic waste treatments with thermophilic phase (> 50 °C) should be implemented before the use/release of organic waste in the environment. More investigation should be conducted with the datasets available in this review to determine the treatment efficiency on ARG carried by specific bacterial communities.",SR
5,What are the relative risks of mortality and injury for fish during downstream passage at hydroelectric dams in temperate regions? A systematic review,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-020-0184-0,10.1186/s13750-020-0184-0,Fish injury and mortality resulting from entrainment and/or impingement during downstream passage over/through hydropower infrastructure has the potential to cause negative effects on fish populations. The pri...,"Dirk A. Algera, Trina Rytwinski, Jessica J. Taylor, Joseph R. Bennett, Karen E. Smokorowski, Philip M. Harrison, Keith D. Clarke, Eva C. Enders, Michael Power, Mark S. Bevelhimer and Steven J. Cooke","Background Fish injury and mortality resulting from entrainment and/or impingement during downstream passage over/through hydropower infrastructure has the potential to cause negative effects on fish populations. The primary goal of this systematic review was to address two research questions: (1) What are the consequences of hydroelectric dam fish entrainment and impingement on freshwater fish productivity in temperate regions?; (2) To what extent do various factors like site type, intervention type, and life history characteristics influence the consequences of fish entrainment and impingement? Methods The review was conducted using guidelines provided by the Collaboration for Environmental Evidence and examined commercially published and grey literature. All articles found using a systematic search were screened using a priori eligibility criteria at two stages (title and abstract, and full-text, respectively), with consistency checks being performed at each stage. The validity of studies was appraised and data were extracted using tools explicitly designed for this review. A narrative synthesis encompassed all relevant studies and a quantitative synthesis (meta-analysis) was conducted where appropriate. Review findings A total of 264 studies from 87 articles were included for critical appraisal and narrative synthesis. Studies were primarily conducted in the United States (93%) on genera in the Salmonidae family (86%). The evidence base did not allow for an evaluation of the consequences of entrainment/impingement on fish productivity per se; therefore, we evaluated the risk of freshwater fish injury and mortality owing to downstream passage through common hydropower infrastructure. Our quantitative synthesis suggested an overall increased risk of injury and immediate mortality from passage through/over hydropower infrastructure. Injury and immediate mortality risk varied among infrastructure types. Bypasses resulted in decreased injury risk relative to controls, whereas turbines and spillways were associated with the highest injury risks relative to controls. Within turbine studies, those conducted in a lab setting were associated with higher injury risk than field-based studies, and studies with longer assessment time periods (≥ 24–48 h) were associated with higher risk than shorter duration assessment periods (< 24 h). Turbines and sluiceways were associated with the highest immediate mortality risk relative to controls. Within turbine studies, lab-based studies had higher mortality risk ratios than field-based studies. Within field studies, Francis turbines resulted in a higher immediate mortality risk than Kaplan turbines relative to controls, and wild sourced fish had a higher immediate mortality risk than hatchery sourced fish in Kaplan turbines. No other associations between effect size and moderators were identified. Taxonomic analyses revealed a significant increased injury and immediate mortality risk relative to controls for genera Alosa (river herring) and Oncorhynchus (Pacific salmonids), and delayed mortality risk for Anguilla (freshwater eels). Conclusions Our synthesis suggests that hydropower infrastructure in temperate regions increased the overall risk of freshwater fish injury and immediate mortality relative to controls. The evidence base confirmed that turbines and spillways increase the risk of injury and/or mortality for downstream passing fish compared to controls. Differences in lab- and field-based studies were evident, highlighting the need for further studies to understand the sources of variation among lab- and field-based studies. We were unable to examine delayed mortality, likely due to the lack of consistency in monitoring for post-passage delayed injury and mortality. Our synthesis suggests that bypasses are the most “fish friendly” passage option in terms of reducing fish injury and mortality. To address knowledge gaps, studies are needed that focus on systems outside of North America, on non-salmonid or non-sportfish target species, and on population-level consequences of fish entrainment/impingement.",SR
6,What evidence exists on the impact of agricultural practices in fruit orchards on biodiversity? A systematic map,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-020-0185-z,10.1186/s13750-020-0185-z,"Biodiversity loss, partly due to intensification of agriculture, has become a global issue. In this context, fruit producers have been looking for nature-friendly production methods. By reducing intensive pest...","Markus van der Meer, Sonja Kay, Gisela Lüscher and Philippe Jeanneret","Background Biodiversity loss, partly due to intensification of agriculture, has become a global issue. In this context, fruit producers have been looking for nature-friendly production methods. By reducing intensive pesticide use and enhancing orchard management, they aim to create habitats suitable for beneficial organisms. Fruit production, especially in low-stem orchards, requires several interventions (plant protection, tillage, greenwork) throughout the year, each of them representing a disturbance. Thus, an expert system that evaluates and aggregates the impact of individual farming activities on a set of biodiversity indicators would be a valuable tool for developing new, less biodiversity-damaging scenarios. This expert system should be based on expert knowledge and scientific evidence. Surprisingly, our literature searches suggested that international journals contain few publications on the impact of most practices (except pesticide use) in orchards on biodiversity in general and beneficial organisms in particular. However, in the last decade, an increasing number of published articles have pointed out the rising importance of biodiversity in life cycle assessment. We therefore compiled and structured the available evidence to (1) assess the state of research on discrete biodiversity indicators and agricultural practices, (2) identify the literature relevant for assessing production impact and habitat suitability for supporting biodiversity and (3) provide a wide-ranging overview of existing evidence of the impact of agricultural practices in fruit orchards on biodiversity. Methods A systematic literature search was performed in scientific journals, agronomy magazines and across the internet in English, German and French. The main reviewer followed a step-by-step eligibility scheme that was validated by a Kappa test between two reviewers. Additionally, a third reviewer checked a subset of articles. We mapped a large range of parameters, which were structured in code sets. To compute a study validity assessment, we used 13 parameters that reflected the relevance of each article to the impact of agricultural practices in fruit orchards on biodiversity indicator species groups. Results The search returned 947 included articles. The map identified major differences in the attention given to different indicators and practices over time, ranging from closely investigated (clusters) to neglected (gaps)—e.g. spiders and birds or amphibians and reptiles, respectively. The majority of studies were short-term surveys, mainly done in low-stem orchards. Main areas studied were Western Europe and Eastern North America. The resulting database is presented along with descriptive statistics of the distribution and abundance of evidence across time, interventions and outcomes. Conclusions The current systematic map reveals that rigorous and comprehensive investigations on the suitability of orchards as perennial habitats for wildlife, run on the long-term and following a holistic approach, are still basically lacking. Although evidence base on orchard management effects on particular organisms has grown over the past two decades, information to develop reliable close-to-nature management tools and strategies is insufficient. The implications for policy and research suggest that—in view of worldwide biodiversity loss, which may cause a major threat for food production—a better understanding of the role played by orchards and their management in agricultural landscapes for biodiversity is required.",SM
7,Management of UK priority invasive alien plants: a systematic review protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-020-0186-y,10.1186/s13750-020-0186-y,"Invasive alien plant species often have negative environmental and social impacts, such as loss of biodiversity and alteration of ecosystem services. As a result, managing the introduction, establishment, and ...","Philip A. Martin, Gorm E. Shackelford, James M. Bullock, Belinda Gallardo, David C. Aldridge and William J. Sutherland","Background Invasive alien plant species often have negative environmental and social impacts, such as loss of biodiversity and alteration of ecosystem services. As a result, managing the introduction, establishment, and abundance of invasive species is a major priority. To do this effectively, we need evidence on the effect of management interventions (such as using herbicide or cutting to control invasive plants). This evidence should not only include the effects of these management interventions on invasive alien species, but also on native species and other non-target outcomes such as ecosystem services. Such evidence would allow for comparison of the trade-offs between different management interventions. In the planned review we aim to assess how management interventions to control nine priority invasive alien plants species in England and Wales affect environmental outcomes. These species are: Japanese knotweed (Fallopia japonica) Nuttall’s waterweed (Elodea nuttallii), Chilean rhubarb (Gunnera tinctoria), Giant hogweed (Heracleum mantegazzianum), Floating pennywort (Hydrocotyle ranunculoides), Himalayan balsam (Impatiens glandulifera), Curly waterweed (Lagarosiphon major), American skunk cabbage (Lysichiton americanus), Parrot’s feather (Myriophyllum aquaticum). Methods Searches will be in English and use bibliographic databases (Scopus, Web of Science Core Collection, Open Access Theses and Dissertations, and Conservation Evidence) and internet searches (Google Scholar), as well as specialist databases. Our methodology will only use the names of each species (scientific names and common names, including synonyms) as our search string (we will not use qualifiers, such as “AND invasive”). This will give low specificity but will increase the likelihood of capturing all relevant information. We will use predefined criteria for study inclusion and data extraction. We will screen publications in two stages: (1) using titles and abstracts and (2) using full texts. Consistency of inclusion will be checked by two people screening a random sample of 10% of titles and abstracts. This dual-screening will be subject to kappa analysis and any disagreements resolved through discussion. We will use critical appraisal to assess study validity by identifying studies that are potentially prone to bias.",SRP
8,Effectiveness of ecotechnologies in agriculture for the recovery and reuse of carbon and nutrients in the Baltic and boreo-temperate regions: a systematic map,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0183-1,10.1186/s13750-019-0183-1,Agriculture is the main sector responsible for nutrient emissions in the Baltic Sea Region and there is a growing pressure to identify cost-effective solutions towards reducing nitrogen and phosphorus loads or...,"Biljana Macura, Mikołaj Piniewski, Marta Księżniak, Paweł Osuch, Neal R. Haddaway, Filippa Ek, Karolin Andersson and Sirkka Tattari","Background Agriculture is the main sector responsible for nutrient emissions in the Baltic Sea Region and there is a growing pressure to identify cost-effective solutions towards reducing nitrogen and phosphorus loads originating from farming activities. Recycling resources from agricultural waste is central to the idea of a circular economy, and has the potential to address the most urgent problems related to nutrients use in the food chain, such as depletion of natural phosphorus reserves, water pollution and waste management. This systematic map examined what evidence exists relating to the effectiveness of ecotechnologies in agriculture for the recovery and reuse of carbon and/or nutrients (nitrogen and phosphorus) in the Baltic Sea region and other comparable boreo-temperate systems. Methods We searched for both academic and grey literature. English language searches were performed in 5 bibliographic databases and search platforms, and Google Scholar. Searches in 36 specialist websites were performed in English, Finnish, Polish and Swedish. The searches were restricted to the period 2013 to 2017. Eligibility screening was conducted at two levels: title and abstract (screened concurrently for efficiency) and full text. Meta-data was extracted from eligible studies including bibliographic details, study location, ecotechnology name and description, type of outcome (i.e. recovered or reused carbon and/or nutrients), type of ecotechnology in terms of recovery source, and type of reuse (in terms of the end-product). Findings are presented here narratively and in a searchable database, and are also visualised in a web-based evidence atlas (an interactive geographical information system). In addition, knowledge gaps and clusters have been identified in the evidence base and described in detail. Results We found 173 articles studying the effectiveness of 177 ecotechnologies. The majority of eligible articles were in English, originated from bibliographic databases and were published in 2016. Most studies with reported locations, and given our boreo-temperate scope, were conducted in Europe and North America. The three most prevalent ecotechnologies in the evidence base (collectively 40.7%) were; soil amendments, anaerobic digestion and (vermi)composting. Manure was the principal waste source used for recovery of nutrients or carbon, making up 55.4% of the all studies in evidence base, followed by a combination of manure and crop residues (22%). There were 51 studies with 14 ecotechnologies that reported on recovery of carbon and nutrients together, predominantly via (vermi)composting and anaerobic digestion. Only 27 studies focused on reuse of recovered nutrients and carbon through soil amendments. Conclusions This systematic map report provides an evidence base that can be useful for researchers and decision-makers in policy and practice working on transformation from linear to circular economy in the agricultural waste sector. Three potential topics for future systematic reviews are: (1) effectiveness of products recovered from different types of agricultural wastes as soil amendments or fertilizers; (2) effectiveness of anaerobic digestion as an ecotechnology used for recovery of nutrients and carbon; (3) effectiveness of composting and/or vermicomposting as ecotechnologies used for recovery of nutrients and carbon.",SM
9,What are the impacts of within-field farmland management practices on the flux of greenhouse gases from arable cropland in temperate regions? A systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0182-2,10.1186/s13750-019-0182-2,Reducing greenhouse gas emissions is a vital step in limiting climate change and meeting the goals outlined in the COP 21 Paris Agreement of 2015. Studies have suggested that agriculture accounts for around 11...,"Alexandra M. Collins, Neal R. Haddaway, Biljana Macura, James Thomas, Nicola Randall, Jessica J. Taylor, Steve Cooke and Alyssa Gilbert","Background Reducing greenhouse gas emissions is a vital step in limiting climate change and meeting the goals outlined in the COP 21 Paris Agreement of 2015. Studies have suggested that agriculture accounts for around 11% of total greenhouse gas emissions and the industry has a significant role in meeting international and national climate change reduction objectives. However, there is currently little consensus on the mechanisms that regulate the production and assimilation of greenhouse gases in arable land and the practical factors that affect the process. Practical advice for farmers is often overly general, and models based on the amount of nitrogen fertiliser applied, for example, are used despite a lack of knowledge of how local conditions affect the process, such as the importance of humus content and soil types. Here, we propose a systematic map of the evidence relating to the impact on greenhouse gas flux from the agricultural management of arable land in temperate regions. Methods Using established methods for systematic mapping in environmental sciences we will search for, collate and catalogue research studies relating to the impacts of farming in temperate systems on greenhouse gas emissions. We will search 6 bibliographic databases using a tested search string, and will hand search a web-based search engine and a list of organisational web sites. Furthermore, evidence will be sought from key stakeholders. Search results will then be screened for relevance at title, abstract and full text levels according to a predefined set of eligibility criteria. Consistency checking will be employed to ensure the criteria are being applied accurately and consistently. Relevant studies will then be subjected to coding and meta-data extraction, which will be used to populate a systematic map database describing each relevant study’s settings, methods and measured outcomes. The mapping process will help to identify knowledge gaps (subjects lacking in evidence warranting further primary research) and knowledge clusters (subjects with sufficient studies to allow a useful full systematic review), and will highlight best and suboptimal research methods.",SMP
10,How are nature based solutions contributing to priority societal challenges surrounding human well-being in the United Kingdom: a systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-019-0180-4,10.1186/s13750-019-0180-4,"The concept of Nature-based Solutions (NBS) has evolved as an umbrella concept embracing concepts such as Green/Blue/Nature Infrastructure, Ecosystem Approach, Ecosystem Services, but at their core, they clust...","Jan Dick, James D. Miller, Jonathan Carruthers-Jones, Anne J. Dobel, Steve Carver, Angus Garbutt, Alison Hester, Rosie Hails, Victoria Magreehan and Melina Quinn","Background The concept of Nature-based Solutions (NBS) has evolved as an umbrella concept embracing concepts such as Green/Blue/Nature Infrastructure, Ecosystem Approach, Ecosystem Services, but at their core, they cluster into the general theme of learning from and using nature to create sustainable socio-ecological systems, which enhance human well-being (HWB). NBS address societal challenges across a broad range of spatial scales—local, regional and global—and temporal scales—medium to long-term. While there are many reviews and a clear evidence base linking certain NBS to various elements of HWB, particularly urban greenspace and human health, no comprehensive mapping exists of the links between NBS interventions and the associated multiple positive and negative HWB outcomes across a range of habitats. The initial research phase used a participatory co-design process to select four priority societal challenges facing the United Kingdom: three related to management issues i.e. NBS cost-efficacy, governance in planning, environmental justice, and the fourth threats to the acoustic environment. These challenges collectively address priority management issues which stakeholders requested be investigated widely i.e. across landscapes, cityscapes, seascapes and soundscapes. Results of the study are intended to identify and define potential future environmental evidence challenges for UK science. Methods This protocol describes the methodology for approaching the research question: What evidence is there for nature based solutions and their impacts on human wellbeing for societal challenges related to cost-efficacy, governance in planning, environmental justice, and the acoustic environment? Using systematic mapping, this study will search for and identify studies that seek to assess nature-based solutions on human well-being with regard to these four societal challenges. Systematic searches across a number of academic/online databases are tested against a number of test articles. Search results are refined using eligibility criteria through a three stage process: title, abstract, full text. Data from screened studies are extracted using a predefined coding strategy. Key trends in data will be synthesized according to a range of secondary questions and be presented in a graphical matrix illustrating the knowledge gaps and clusters for research into nature-based solutions and human well-being for each societal challenge.",SMP
